aldo_soil_category,aldo_soil_category_short,aldo_biomass_category,aldo_flows_categories,clc_category
cultures,cult,cultures,cultures,211
cultures,cult,cultures,cultures,212
cultures,cult,cultures,cultures,213
cultures,cult,cultures,cultures,241
cultures,cult,cultures,cultures,242
cultures,cult,cultures,cultures,243
cultures,cult,cultures,cultures,244
prairies,prai,prairies zones herbacées,prairies herbagées,231
prairies,prai,prairies zones herbacées,prairies herbagées,321
prairies,prai,prairies zones arbustives,prairies arbustives,322
prairies,prai,prairies zones arborées,prairies arborées,323
forêts,for,feuillu,forêts,311
forêts,for,feuillu,forêts,324
forêts,for,mixte,forêts,313
forêts,for,conifere,forêts,312
forêts,for,peupleraies,forêts,
zones humides,zh,zones humides,zones humides,411
zones humides,zh,zones humides,zones humides,412
zones humides,zh,zones humides,zones humides,421
zones humides,zh,zones humides,zones humides,422
zones humides,zh,zones humides,zones humides,423
zones humides,zh,zones humides,zones humides,511
zones humides,zh,zones humides,zones humides,512
zones humides,zh,zones humides,zones humides,521
zones humides,zh,zones humides,zones humides,522
zones humides,zh,zones humides,zones humides,523
vergers,verg,vergers,vergers,222
vergers,verg,vergers,vergers,223
vignes,vign,vignes,vignes,221
sols artificiels imperméabilisés,art_imp,sols artificiels imperméabilisés,sols artificiels imperméabilisés,111
sols artificiels imperméabilisés,art_imp,sols artificiels imperméabilisés,sols artificiels imperméabilisés,112
sols artificiels imperméabilisés,art_imp,sols artificiels imperméabilisés,sols artificiels imperméabilisés,121
sols artificiels imperméabilisés,art_imp,sols artificiels imperméabilisés,sols artificiels imperméabilisés,122
sols artificiels imperméabilisés,art_imp,sols artificiels imperméabilisés,sols artificiels imperméabilisés,123
sols artificiels imperméabilisés,art_imp,sols artificiels imperméabilisés,sols artificiels imperméabilisés,124
sols artificiels imperméabilisés,art_imp,sols artificiels imperméabilisés,sols artificiels imperméabilisés,131
sols artificiels imperméabilisés,art_imp,sols artificiels imperméabilisés,sols artificiels imperméabilisés,132
sols artificiels imperméabilisés,art_imp,sols artificiels imperméabilisés,sols artificiels imperméabilisés,133
sols artificiels imperméabilisés,art_imp,sols artificiels imperméabilisés,sols artificiels imperméabilisés,142
sols artificiels arborés et buissonants,art_arb,sols artificiels arborés et buissonants,sols artificiels arborés,141
,,,,331
,,,,332
,,,,333
,,,,334
,,,,335
