region_insee_id,aldo_biomass_category,biomass_carbon_content
53,prairies zones arborées,48
52,prairies zones arborées,48
84,prairies zones arborées,57
44,prairies zones arborées,48
93,prairies zones arborées,44
24,prairies zones arborées,48
27,prairies zones arborées,48
76,prairies zones arborées,44
28,prairies zones arborées,48
94,prairies zones arborées,44
11,prairies zones arborées,48
32,prairies zones arborées,48
75,prairies zones arborées,31
53,prairies zones arbustives,7
52,prairies zones arbustives,7
84,prairies zones arbustives,7
44,prairies zones arbustives,7
93,prairies zones arbustives,7
24,prairies zones arbustives,7
27,prairies zones arbustives,7
76,prairies zones arbustives,7
28,prairies zones arbustives,7
94,prairies zones arbustives,7
11,prairies zones arbustives,7
32,prairies zones arbustives,7
75,prairies zones arbustives,7
53,prairies zones herbacées,0
52,prairies zones herbacées,0
84,prairies zones herbacées,0
44,prairies zones herbacées,0
93,prairies zones herbacées,0
24,prairies zones herbacées,0
27,prairies zones herbacées,0
76,prairies zones herbacées,0
28,prairies zones herbacées,0
94,prairies zones herbacées,0
11,prairies zones herbacées,0
32,prairies zones herbacées,0
75,prairies zones herbacées,0
53,vergers,16
52,vergers,16
84,vergers,16
44,vergers,16
93,vergers,16
24,vergers,16
27,vergers,16
76,vergers,16
28,vergers,16
94,vergers,16
11,vergers,16
32,vergers,16
75,vergers,16
53,vignes,5
52,vignes,5
84,vignes,5
44,vignes,5
93,vignes,5
24,vignes,5
27,vignes,5
76,vignes,5
28,vignes,5
94,vignes,5
11,vignes,5
32,vignes,5
75,vignes,5
53,cultures,0
52,cultures,0
84,cultures,0
44,cultures,0
93,cultures,0
24,cultures,0
27,cultures,0
76,cultures,0
28,cultures,0
94,cultures,0
11,cultures,0
32,cultures,0
75,cultures,0
53,zones humides,0
52,zones humides,0
84,zones humides,0
44,zones humides,0
93,zones humides,0
24,zones humides,0
27,zones humides,0
76,zones humides,0
28,zones humides,0
94,zones humides,0
11,zones humides,0
32,zones humides,0
75,zones humides,0
53,sols artificiels arborés et buissonants,48
52,sols artificiels arborés et buissonants,48
84,sols artificiels arborés et buissonants,57
44,sols artificiels arborés et buissonants,48
93,sols artificiels arborés et buissonants,44
24,sols artificiels arborés et buissonants,48
27,sols artificiels arborés et buissonants,48
76,sols artificiels arborés et buissonants,44
28,sols artificiels arborés et buissonants,48
94,sols artificiels arborés et buissonants,44
11,sols artificiels arborés et buissonants,48
32,sols artificiels arborés et buissonants,48
75,sols artificiels arborés et buissonants,31
53,sols artificiels arbustifs,7
52,sols artificiels arbustifs,7
84,sols artificiels arbustifs,7
44,sols artificiels arbustifs,7
93,sols artificiels arbustifs,7
24,sols artificiels arbustifs,7
27,sols artificiels arbustifs,7
76,sols artificiels arbustifs,7
28,sols artificiels arbustifs,7
94,sols artificiels arbustifs,7
11,sols artificiels arbustifs,7
32,sols artificiels arbustifs,7
75,sols artificiels arbustifs,7
53,sols artificiels imperméabilisés,0
52,sols artificiels imperméabilisés,0
84,sols artificiels imperméabilisés,0
44,sols artificiels imperméabilisés,0
93,sols artificiels imperméabilisés,0
24,sols artificiels imperméabilisés,0
27,sols artificiels imperméabilisés,0
76,sols artificiels imperméabilisés,0
28,sols artificiels imperméabilisés,0
94,sols artificiels imperméabilisés,0
11,sols artificiels imperméabilisés,0
32,sols artificiels imperméabilisés,0
75,sols artificiels imperméabilisés,0
