INSEE_COM,NOM
74007,Amancy
74008,Ambilly
74012,Annemasse
74015,Arbusigny
74018,Arenthon
74021,Arthaz-Pont-Notre-Dame
74024,Ayse
74040,Bonne
74042,Bonneville
74049,Brizon
74059,La Chapelle-Rambaud
74087,Contamine-sur-Arve
74090,Cornier
74094,Cranves-Sales
74116,Etaux
74118,Étrembières
74133,Gaillard
74145,Juvigny
74153,Lucinges
74164,Marignier
74185,Monnetier-Mornex
74193,La Muraz
74197,Nangy
74211,Pers-Jussy
74212,Glières-Val-de-Borne
74220,Reignier-Ésery
74224,La Roche-sur-Foron
74244,Saint-Laurent
74250,Saint-Pierre-en-Faucigny
74253,Saint-Sixt
74262,Scientrier
74298,Vétraz-Monthoux
74305,Ville-la-Grand
74312,Vougy
