old_epci,new_epci
241800218,200090561
241800523,200090561
241800341,200090561
241800515,200090561
241800325,200090561
242320026,242320109
242700409,200089456
242700623,200089456
242700458,200089456
242700383,200089456
243800778,200085751
243800844,200085751
243800455,200077014
243800927,200077014
243901071,200090579
200012060,200090579
243900768,200090579
243900719,200090579
243900412,200090579
244301099,200085728
244300315,200085728
244301032,200085728
244300224,200085728
244300216,200085728
244701421,200096956
244701447,200096956
244700514,200096956
244700472,200096956
245300330,200083392
245300306,200083392
245600515,200096675
245600143,200096683
245614292,200096675
245614292,200096683
245901061,200093201
245900410,200093201
245900816,200093201
246200976,200090751
246201149,200090751
246900633,200077014
247600497,200084952
247600596,200084952
247600539,200084952
247700453,200090504
247700545,200090504
247700024,200090504
247700438,200090504
247700529,200090504
248800708,200096634
248800617,200096634
248800674,200096642
248800716,200096634
248800658,200096642
249710054,200044691
249720046,200041788
